year;category;program;funding
2014;05. Transportation;Street Lighting Infrastructure (Local Roads);776200
2014;05. Transportation;2014 Transit Related Improvements;750000
2014;05. Transportation;Pedestrian / Bicycle Signal Rehabilitation;700000
2014;05. Transportation;Investigation for Design;550000
2014;05. Transportation;New Pedestrian / Bicycle Signal Construction;525000
2014;05. Transportation;Transportation Monitoring;500000
2014;05. Transportation;Purchase of Parking Meters from Park Board;464506
2014;05. Transportation;EasyPark Lot 31 Parkade Restoration Phase 1;452000
2014;05. Transportation;2014 Arterial Improvements;350000
2014;05. Transportation;Active Street Activities;350000
2014;05. Transportation;New Curb Ramps;290000
2014;05. Transportation;Blueways;237000
2014;05. Transportation;Mobile Licence Plate Recognition;200000
2014;05. Transportation;Traffic Calming;170000
2014;05. Transportation;Maintenance of Vehicular Bridges;150000
2014;05. Transportation;EasyPark Lot 31 Monthly Access Upgrade;130000
2014;05. Transportation;Retaining Wall Replacement;100000
2014;05. Transportation;New Sidewalk;100000
2014;05. Transportation;EasyPark Counting Facility and Security Upgrades;100000
2014;05. Transportation;EasyPark Lot 9 Earthquake Bracing;100000
2014;05. Transportation;Street Lighting Infill (Local Roads);95040
2014;05. Transportation;Street Lighting Infill (Major Roads);85000
2014;05. Transportation;EasyPark Mobile App;75000
2014;05. Transportation;EasyPark Head Office Renovations;50000
2014;05. Transportation;EasyPark Security Enhancements;25000
2014;05. Transportation;EasyPark Lot 9 Renovation of Customer Service Office;25000
2014;05. Transportation;EasyPark Co-location Dual Redundancy;15000
2014;05. Transportation;EasyPark Office Works Station Computers;10000
2014;06. Utilities and Public Works;Replacement of Existing Sewer Pipes (Main Sewer Separation Program);25620000
2014;06. Utilities and Public Works;Sewer Connections;10500000
2014;06. Utilities and Public Works;Distribution Main Replacement Program;7900000
2014;06. Utilities and Public Works;2012/14 Neighbourhood Energy Utility (NEU) System Expansion;3200000
2014;06. Utilities and Public Works;New Water Connections;2000000
2014;06. Utilities and Public Works;Aging Service Replacement;1500000
2014;06. Utilities and Public Works;Replacement of Sewer Connections and Manholes;1400000
2014;06. Utilities and Public Works;Sewer Separation on Private Property;700000
2014;06. Utilities and Public Works;Investigation for Design/Integrated Stormwater Management Plans;375000
2014;06. Utilities and Public Works;Upgrading Sanitary Sewer Pipes;340000
2014;06. Utilities and Public Works;Hydrant Replacement Program;300000
2014;06. Utilities and Public Works;Video Inspection of Sewers;250000
2014;06. Utilities and Public Works;Engineering and Site Investigation;250000
2014;06. Utilities and Public Works;Dedicated Fire Protection System;225000
2014;06. Utilities and Public Works;Replace or Upgrade _ Pump Stations;200000
2014;06. Utilities and Public Works;Increasing Use of Native Soils (Waterworks);172000
2014;06. Utilities and Public Works;Aging Water Meter Replacement;150000
2014;06. Utilities and Public Works;Waterworks System Extensions;150000
2014;06. Utilities and Public Works;New Water Meters;150000
2014;06. Utilities and Public Works;Emergency Preparedness;125000
2014;06. Utilities and Public Works;Water Quality Capital;100000
2014;06. Utilities and Public Works;Telemetry & Monitoring;100000
2014;06. Utilities and Public Works;Access To Water;60000
2014;06. Utilities and Public Works;Water Conservation Capital;40000
2014;07. Civic Infrastructure;Fire Truck Replacement;24870000
2014;07. Civic Infrastructure;Vehicle & Equipment Replacements and Additions;20290000
2014;07. Civic Infrastructure;Seismic Upgrades _ VanCity Building;4500000
2014;07. Civic Infrastructure;2012-14 Office Accommodation Plan;3455000
2014;07. Civic Infrastructure;Client Hardware Refresh Program;2815000
2014;07. Civic Infrastructure;2012-14 Office Accommodation Plan _ East Wing Deconstruction;2400000
2014;07. Civic Infrastructure;Infrastructure Maintenance, Upgrade & Expansion;1900000
2014;07. Civic Infrastructure;VPD Laptop Refresh;1500000
2014;07. Civic Infrastructure;Hazardous Materials Abatement Program;1325000
2014;07. Civic Infrastructure;2012-14 Capital Maintenance of Administrative Facilities;1000000
2014;07. Civic Infrastructure;COV Digital Strategy;1000000
2014;07. Civic Infrastructure;Strategic Initiatives;500000
2014;07. Civic Infrastructure;Business Technology Advisory Committee (BTAC) Emerging Priorities;500000
2014;07. Civic Infrastructure;VPL _ Wireless Network Replacement;465000
2014;07. Civic Infrastructure;SAP Upgrade;200000
2014;07. Civic Infrastructure;Carbon Offset "Quickstart";150000
2014;07. Civic Infrastructure;Recycling Program;150000
2014;07. Civic Infrastructure;2012-14 Capital Maintenance of Service Yards;145000
2014;07. Civic Infrastructure;Traffic Count Consolidation;135000
2014;07. Civic Infrastructure;VPL _ Integrated Library System Hardware Replacement;120000
2014;07. Civic Infrastructure;Fleet Operations System Visioning;100000
2014;07. Civic Infrastructure;Application Rationalization Program;80000
2014;07. Civic Infrastructure;VanDocs Upgrade;50000
2014;07. Civic Infrastructure;EasyPark Website;50000
2014;08. City-Wide;City-Wide Overhead _ Capital Administration;1277000
2014;08. City-Wide;City-Wide Overhead _ Legal Support;1000000
2014;08. City-Wide;Debenture Discount;380000
2014;08. City-Wide;City-Wide Overhead _ Communications Support;323000
